0.8862500000000001,0,0.001630648772300242,141: out
,"[7, 0, 0]","[0.03642748440299845, 2.3094562834698504e-05]"
,"[8, 0, 0]","[0.03642748439091856, 3.5048552361033934e-06]"
,"[9, 0, 0]","[0.036427484391091884, 6.933244579592531e-06]"
,"[9, 0, 0]","[0.036427484391091884, 6.933244579592531e-06]"
,"[10, 0, 0]","[0.03642748438994474, 1.640237399800487e-05]"
,"[10, 0, 0]","[0.03642748438994474, 1.640237399800487e-05]"
,"[11, 0, 0]","[0.03642748439450053, 1.7183497324318755e-05]"
,"[11, 0, 0]","[0.03642748439450053, 1.7183497324318755e-05]"
,"[11, 0, 1]","[0.03642748438812819, 1.081578851858201e-05]"
,"[12, 0, 0]","[0.03642748438291611, 5.80661261944543e-06]"
,"[13, 0, 0]","[0.03642748441111639, 2.176551806765403e-05]"
,"[13, 0, 0]","[0.03642748441111639, 2.176551806765403e-05]"
,"[13, 0, 1]","[0.03642748438358434, 8.59490860634844e-06]"
,"[14, 0, 0]","[0.036427484380239634, 7.085679512329809e-06]"
